,PR_PRL,RP,RD_SYM,QT_QTF,UNS,QT_QTC,PR_PRC,DM,RD_RDF,RP_RPD,RD_ECH,PR_PRP,RD_UNK,CC_CCD,RD_PUNC,RD,N_NST,PR_PRQ,RB,CC_CCS,N_NN,N_NNP,RP_INTF,DM_DMD,UNE,V_VAUX,RP_NEG,QT,PR,DM_DMQ,V,DM_DMR,CC_CCS_UT,V_VM,CC,PR_PRF,RP_INJ
PR_PRL,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0.00462784419591207,0,0,0.00537634408602150,0,0.0263157894736842,0,0,0,0,0,0,0,0.007197943444730077,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754385964912280,0,0,0,0,0,0,0,0,0,0,0
RD_SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT_QTF,0,0,0,0.0551724137931034,0,0.003546099290780141,0,0,0.006976744186046511,0,0,0.01589403973509933,0,0.02836879432624113,0,0,0.00921658986175115,0.01086956521739130,0.01427003293084522,0.0606060606060606,0.01234091785576552,0.0376344086021505,0.07,0.00537634408602150,0,0,0,0,0,0,0,0.,0.0689655172413793,0.000514138817480719,0,0,0
UNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QT_QTC,0.0312,0,0,0,0.00,0.0354609929078014,0,0.0816326530612244,0.00930232558139534,0,0.,0.0437086092715231,0,0.03073286052009456,0,0,0.0230414746543778,0,0.0933040614709110,0.0606060606060606,0.02815271885846509,0.00430107526881720,0,0.02150537634408602,0,0.00877192982456140,0,0,0,0.04545454545454545,0,0,0,0.01336760925449871,0,0,0.12
PR_PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001542614731970690,0,0,0,0,0,0,0,0,0,0,0,0,0.000514138817480719,0,0,0
DM,0.0312,0,0,0,0,0,0,0,0,0,0,0.00529801324503311,0,0.0212765957446808,0,0,0,0.01086956521739130,0.002195389681668496,0,0.001156961048978017,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0.00771208226221079,0,0,0
RD_RDF,0,0,0,0.04137931034482758,0.0,0.0567375886524822,0,0.06122448979591836,0.553488372093023,0,0,0.0437086092715231,0,0.0118203309692671,0,0,0.00460829493087557,0.01086956521739130,0.00987925356750823,0.01515151515151515,0.00617045892788276,0.00430107526881720,0,0.01612903225806451,0,0,0,0,0,0,0,0,0,0.01131105398457583,0,0.062,0
RP_RPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007092198581560283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001028277634961439,0,0,0
RD_ECH,0,0,0,0.01379310344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR_PRP,0.437,0,0,0.00689655172413793,0.00,0.007092198581560283,0,0,0.00930232558139534,0.,0,0.05298013245033112,0,0.3522458628841607,0,0,0.00921658986175115,0.02173913043478260,0.1909989023051591,0.333333333333333,0.0451214809101426,0.02580645161290322,0.0,0.01612903225806451,0,0.1754385964912280,0.03448275862068965,0,0,0,0,0,0.241379310344827,0.0704370179948586,0.,0.062,0
RD_UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC_CCD,0,0,0,0,0.01,0,0,0,0.00232558139534883,0,0,0.001324503311258278,0,0,0,0,0,0.0326086956521739,0.001097694840834248,0.01515151515151515,0.01156961048978017,0.0688172043010752,0,0,0,0.4210526315789473,0,0,0,0,0,0,0,0.1331619537275064,0,0,0
RD_PUNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_NST,0,0,0,0,0,0.0212765957446808,0,0.0204081632653061,0.04651162790697674,0,0,0.0344370860927152,0,0.01418439716312056,0,0,0.02764976958525345,0,0.0329308452250274,0.04545454545454545,0.02275356729656768,0.03548387096774193,0,0.02150537634408602,0,0,0,0,0,0,0,0,0,0.007197943444730077,0,0.0937,0
PR_PRQ,0,0,0,0.01379310344827586,0.00,0.007092198581560283,0,0,0.006976744186046511,0,0,0.01854304635761589,0,0.01418439716312056,0,0,0.00460829493087557,0.0326086956521739,0.02414928649835345,0.01515151515151515,0.00848438102583879,0.00107526881720430,0,0,0,0,0,0,0,0,0,0,0.03448275862068965,0.001542416452442159,0,0.0312,0
RB,0,0,0,0.0551724137931034,0.25,0.0354609929078014,0,0.1428571428571428,0.0162790697674418,0.,0,0.0754966887417218,0,0.111111111111111,0,0,0.04147465437788018,0,0.0812294182217343,0.1060606060606060,0.0582337061318935,0.2139784946236559,0.22,0,0,0,0,0,0,0.04545454545454545,0,0,0.1379310344827586,0.01902313624678663,0,0,0
CC_CCS,0,0,0,0,0,0.003546099290780141,0,0,0.00232558139534883,0,0,0.00529801324503311,0,0.05437352245862884,0,0,0,0,0.001097694840834248,0,0.000771307365985345,0,0.0,0,0,0.0614035087719298,0,0,0,0,0,0,0,0.01182519280205655,0,0,0
N_NN,0.187,1.,0,0.531034482758620,0.06,0.670212765957446,0.666666666666666,0.3265306122448979,0.05348837209302325,0.,0.,0.468874172185430,0,0.0780141843971631,0,0,0.1013824884792626,0.3478260869565217,0.194291986827661,0.1060606060606060,0.1932124951793289,0.384946236559139,0.17,0.704301075268817,0,0,0,0,0,0.272727272727272,0,0.,0.344827586206896,0.0524421593830334,0,0.437,0.12
N_NNP,0.062,0,0,0.01379310344827586,0.59,0.003546099290780141,0,0.06122448979591836,0.00232558139534883,0,0,0.03046357615894039,0,0.0921985815602836,0,0,0.00921658986175115,0.0326086956521739,0.1361141602634467,0.0606060606060606,0.02622445044350173,0.00215053763440860,0,0.01075268817204301,0,0,0,0,0,0,0,0,0.1379310344827586,0.0236503856041131,0.12,0,0
RP_INTF,0,0,0,0.00689655172413793,0,0.003546099290780141,0,0,0.00232558139534883,0,0,0.001324503311258278,0,0.00236406619385342,0,0,0,0,0,0.01515151515151515,0.01002699575780948,0.00107526881720430,0,0.00537634408602150,0,0,0,0,0,0,0,0,0,0.001542416452442159,0,0.0312,0
DM_DMD,0.062,0,0,0,0.00,0,0,0.0204081632653061,0.00465116279069767,0,0,0.02649006622516556,0,0.0567375886524822,0,0,0,0.01086956521739130,0.0175631174533479,0.01515151515151515,0.01079830312379483,0.0516129032258064,0,0.02150537634408602,0,0.0263157894736842,0,0,0,0,0,0,0,0.01388174807197943,0.12,0.0312,0.12
UNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1315789473684210,0,0,0,0,0,0,0,0.2226221079691516,0,0,0.12
V_VAUX,0,0,0,0,0,0,0,0,0.00232558139534883,0,0,0,0,0,0,0,0,0.02173913043478260,0.001097694840834248,0,0.01118395680678750,0,0,0,0,0,0,0,0,0,0,0,0,0.0344473007712082,0,0,0
RP_NEG,0,0,0,0.01379310344827586,0.00,0,0,0,0,0,0,0.001324503311258278,0,0,0,0,0,0.01086956521739130,0.001097694840834248,0,0.00732741997686077,0,0,0,0,0,0.03448275862068965,0,0,0,0,0,0,0,0,0,0
QT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM_DMQ,0,0,0,0,0,0.007092198581560283,0,0,0,0,0,0.001324503311258278,0,0,0,0,0.00460829493087557,0,0.00878155872667398,0.01515151515151515,0.000385653682992672,0,0,0,0,0,0,0,0,0.1818181818181818,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM_DMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236406619385342,0,0,0,0,0,0,0.000385653682992672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0312,0
CC_CCS_UT,0,0,0,0,0,0,0,0,0.00465116279069767,0,0,0.001324503311258278,0,0.007092198581560283,0,0,0,0,0.00878155872667398,0,0.001542614731970690,0,0,0,0,0,0,0,0,0,0,0,0,0.003598971722365038,0,0,0
V_VM,0,0,0,0.1586206896551724,0.00,0.007092198581560283,0.333333333333333,0.06122448979591836,0.155813953488372,0,0,0.05430463576158940,0,0.01418439716312056,0,0,0.635944700460829,0.260869565217391,0.1064763995609220,0.0757575757575757,0.404936367142306,0.0365591397849462,0.02,0.0806451612903225,0,0,0.862068965517241,0,0,0.3636363636363636,0,0.,0,0.173778920308483,0,0.0937,0
CC,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0.00472813238770685,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0.000514138817480719,0,0,0
PR_PRF,0,0,0,0,0,0,0,0,0.00465116279069767,0,0,0.00529801324503311,0,0.00236406619385342,0,0,0,0.0326086956521739,0.001097694840834248,0,0.001542614731970690,0.01505376344086021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP_INJ,0,0,0,0,0.00,0.007092198581560283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000514138817480719,0,0,0
